Proventos;Código ISIN;Deliberado em;Negócios com até;% / Fator de Grupamento;Ativo Emitido;Observações;cvmCode
BONIFICACAO;BRCAMBACNOR4;27/11/1985;29/11/1985;120.0;BRCAMBACNOR4;;2100
BONIFICACAO;BRCAMBACNPR1;27/11/1985;29/11/1985;120.0;BRCAMBACNPR1;;2100
GRUPAMENTO;BRMAPTACNOR8;16/11/2015;23/12/2015;0.1;BRMAPTACNOR8;;13854
GRUPAMENTO;BRMAPTACNPR5;16/11/2015;23/12/2015;0.1;BRMAPTACNPR5;;13854
GRUPAMENTO;BRELETACNOR6;16/07/2007;17/08/2007;0.002;BRELETACNOR6;;2437
GRUPAMENTO;BRELETACNPA9;16/07/2007;17/08/2007;0.002;BRELETACNPA9;;2437
GRUPAMENTO;BRELETACNPB7;16/07/2007;17/08/2007;0.002;BRELETACNPB7;;2437
CIS RED CAP;BRELETACNOR6;29/01/1998;29/05/1998;100.0;BRGRSUACNOR6;;2437
CIS RED CAP;BRELETACNOR6;29/01/1998;29/05/1998;100.0;BRELETACNOR6;;2437
CIS RED CAP;BRELETACNPA9;29/01/1998;29/05/1998;100.0;BRGRSUACNPA9;;2437
CIS RED CAP;BRELETACNPA9;29/01/1998;29/05/1998;100.0;BRELETACNPA9;;2437
CIS RED CAP;BRELETACNPB7;29/01/1998;29/05/1998;100.0;BRGRSUACNPB7;;2437
CIS RED CAP;BRELETACNPB7;29/01/1998;29/05/1998;100.0;BRELETACNPB7;;2437
DESDOBRAMENTO;BRELETACNOR6;15/12/1997;15/12/1997;900.0;BRELETACNOR6;;2437
DESDOBRAMENTO;BRELETACNPA9;15/12/1997;15/12/1997;900.0;BRELETACNPA9;;2437
DESDOBRAMENTO;BRELETACNPB7;15/12/1997;15/12/1997;900.0;BRELETACNPB7;;2437
BONIFICACAO;BRELETACNOR6;06/06/1991;06/06/1991;100.0;BRELETACNOR6;;2437
BONIFICACAO;BRELETACNPA9;06/06/1991;06/06/1991;100.0;BRELETACNPA9;;2437
BONIFICACAO;BRELETACNPB7;06/06/1991;06/06/1991;100.0;BRELETACNPB7;;2437
GRUPAMENTO;BRCLSCACNOR6;11/08/2006;29/09/2006;0.05;BRCLSCACNOR6;;2461
GRUPAMENTO;BRCLSCACNPA9;11/08/2006;29/09/2006;0.05;BRCLSCACNPA9;;2461
GRUPAMENTO;BRCLSCACNPB7;11/08/2006;29/09/2006;0.05;BRCLSCACNPB7;;2461
BONIFICACAO;BRCLSCA0NOR4;22/03/1993;22/03/1993;50.0;BRCLSCACNPB7;;2461
BONIFICACAO;BRCLSCA0NPR1;22/03/1993;22/03/1993;50.0;BRCLSCACNPB7;;2461
